,Released,Movie,Genre,Budget,Revenue,Trailer,Year
0,1/28/14 0:00,1,Documentary,,0,,2014
1,6/8/12 0:00,1 Out Of 7,Drama,,0,,2012
2,10/5/79 0:00,10,Romantic Comedy,,52134699,,1979
3,3/7/08 0:00,"10,000 B.C.",Adventure,105000000,94784201,,2008
4,8/31/13 0:00,10 Habits of Highly Effective People,,,0,,2013
5,9/5/06 0:00,10 Minute Solution: Rapid Results Pilates,Instructional,,0,,2006
6,8/24/07 0:00,10 Questions for the Dalai Lama,Documentary,,224546,,2007
7,4/4/14 0:00,10 Rules for Sleeping Around,Romantic Comedy,,0,,2014
8,12/31/14 0:00,10 Things I Hate About Life,Romantic Comedy,,0,,2014
9,3/11/83 0:00,10 to Midnight,Action,,7175592,,1983
10,9/14/12 0:00,10 Years,Drama,,203654,,2012
11,3/24/00 0:00,100% Arabica,,,5428,,2000
12,6/28/13 0:00,100 Bloody Acres,Black Comedy,,6388,,2013
13,8/25/12 0:00,"1,000 Times More Brutal",Drama,,0,,2012
14,11/27/96 0:00,101 Dalmatians,Comedy,,136189294,,1996
15,7/25/01 0:00,101 ReykjavÃ_k,Comedy,,109277,,2001
16,11/22/00 0:00,102 Dalmatians,Comedy,85000000,66941559,,2000
17,12/31/11 0:00,105 Degrees and Rising,Drama,,0,,2011
18,8/18/06 0:00,10th & Wolf,Drama,8000000,54702,,2006
19,7/11/03 0:00,11'09''01 - September 11,Drama,,126694,,2003
20,11/11/11 0:00,11/11/11,Horror,,38100,,2011
21,8/12/05 0:00,11:14,Drama,6000000,0,,2005
22,10/20/10 0:00,11/4/08,Documentary,,0,,2010
23,12/31/11 0:00,11 Minutes,Drama,,0,,2011
24,8/17/07 0:00,11th Hour,Documentary,,703464,,2007
25,3/4/09 0:00,12,Thriller/Suspense,,125120,,2009
26,12/31/12 0:00,12/12/12,Horror,,0,,2012
27,11/15/13 0:00,12/12/12,Concert/Performance,,0,,2013
28,4/13/57 0:00,12 Angry Men,Drama,340000,0,,1957
29,12/31/12 0:00,The 12 Disasters of Christmas,Drama,,0,,2012
30,10/9/12 0:00,12 Dogs of Christmas: Great Puppy Rescue,,,0,,2012
31,12/11/12 0:00,12 Gifts of Christmas,Concert/Performance,,0,,2012
32,8/7/09 0:00,12 in a Box,,,553,,2009
33,11/23/10 0:00,12 Men of Christmas,Romantic Comedy,,0,,2010
34,1/31/14 0:00,12 O'Clock Boys,Documentary,,80030,,2014
35,3/27/09 0:00,12 Rounds,Action,20000000,12234694,,2009
