,names,values
1372,A.,M
1373,A.W.,M
1374,Aaron,M
1375,Abbas,M
1376,Abdellatif,M
1377,Abel,M
1378,Adam,M
1379,Aditya,M
1380,Adrian,M
1381,Adrienne,F
1382,Adriëën,M
1383,Afonso,M
1384,Agnieszka,F
1385,AgnëÕ‚s,M
1386,Agustë_n,M
1387,Aisling,F
1388,Akashaditya,M
1389,Aki,M
1390,Akira,M
1391,Akiva,M
1392,Al,M
1393,Alain,M
1394,Alan,M
1395,Alante,M
1396,Alastair,M
1397,Albert,M
1398,Alberto,M
1399,Alec,M
1400,Alejandro,M
1401,Alek,M
1402,Aleksa,M
1403,Aleksandr,M
1404,Aleksey,M
1405,Alessandro,M
1406,Alessio,M
1407,Alex,M
1408,Alexander,M
1409,Alexandra,F
1410,Alexandra-Therese,M
1411,Alexandre,M
1412,Alf,M
1413,Alfonso,M
1414,Alfred,M
1415,Ali,M
1416,Alice,F
1417,Allan,M
1418,Allen,M
1419,Allison,F
1420,Alonso,M
1421,Aluizio,M
1422,AlëÕ©,M
1423,Amanda,F
1424,Amando,M
1425,Amat,M
1426,Amma,M
1427,Amos,M
1428,Amy,F
1429,Ana,F
1430,Anand,M
1431,Anatole,M
1432,AnaëÕÑs,M
1433,Anders,M
1434,Andrea,M
1435,Andreas,M
1436,Andrei,M
1437,Andrew,M
1438,Andrey,M
1439,Andrzej,M
1440,Andrëë©,M
1441,Andrëë©s,M
1442,Andy,M
1443,Ang,M
1444,Angel,M
1445,Angela,F
1446,Angelina,F
1447,Ann,F
1448,Anna,F
1449,Annabel,F
1450,Anne,F
1451,Annette,F
1452,Anthony,M
1453,Antoine,M
1454,Antoinette,F
1455,Anton,M
1456,Antonia,F
1457,Antonio,M
1458,Antony,M
1459,Antti-Jussi,M
1460,Anurag,M
1461,Apichatpong,M
1462,April,F
1463,Arbaaz,M
1464,Archie,M
1465,Ari,M
1466,Ariel,M
1467,Arlene,F
1468,Armando,M
1469,Arna,M
1470,Arnaud,M
1471,Arne,M
1472,Aron,M
1473,Arthur,M
1474,Asger,M
1475,Asghar,M
1476,Ashley,F
1477,Ashutosh,M
1478,Ashwiny,M
1479,Asif,M
1480,Assad,M
1481,Astra,F
1482,Ataru,M
1483,Athina,F
1484,Atom,M
1485,Audrey,F
1486,Auguste,M
1487,Aurora,F
1488,Ava,F
1489,Avgousta,M
1490,Avi,M
1491,B.J.,M
1492,Babak,M
1493,Baltasar,M
1494,Banjong,M
1495,Bank,M
1496,Banksy,M
1497,Baran,M
1498,Barbet,M
1499,Barbra,F
1500,Barnet,M
1501,Barry,M
1502,Bassam,M
1503,Baz,M
1504,Beeban,M
1505,Behnam,M
1506,Belëë©n,M
1507,Ben,M
1508,Benedek,M
1509,Benedict,M
1510,Benedikt,M
1511,Benh,M
1512,Benjamin,M
1513,Bennett,M
1514,Benny,M
1515,BenoëÕŠt,M
1516,Bent,M
1517,Bernard,M
1518,Bernardo,M
1519,Bernd,M
1520,Bernie,M
1521,Bernt,M
1522,Bertrand,M
1523,Betty,F
1524,Bharat,M
1525,Bibo,M
1526,Bill,M
1527,Bille,M
1528,Billy,M
1529,Bitte,M
1530,Blake,M
1531,Bo,M
1532,Boaz,M
1533,Bob,M
1534,Bobby,M
1535,Bobcat,M
1536,Bonnie,F
1537,Bora,M
1538,Boyd,M
1539,Brad,M
1540,Bradley,M
1541,Brandon,M
1542,Brea,M
1543,Breck,M
1544,Brenda,F
1545,Brent,M
1546,Brett,M
1547,Brian,M
1548,Brittany,F
1549,Bronwen,F
1550,Bruce,M
1551,Bruno,M
1552,Bryan,M
1553,Bryn,M
1554,Buddy,M
1555,Burgess,M
1556,Burny,M
1557,Burr,M
1558,Burt,M
1559,Burton,M
1560,Busby,M
1561,Buster,M
1562,Butch,M
1563,Byambasuren,M
1564,Byron,M
1565,Bëë©la,M
1566,Cal,M
1567,Caleb,M
1568,Callie,F
1569,Cameron,M
1570,Camille,F
1571,Camillo,M
1572,Campbell,M
1573,Caradog,M
1574,Carl,M
1575,Carles,M
1576,Carlo,M
1577,Carlos,M
1578,Carol,F
