,names,values
881,Leonid,M
882,Leontine,F
883,Leos,M
884,Les,M
885,Lesli,M
886,Leslie,F
887,Leslye,M
888,Levan,M
889,Lewin,M
890,Lewis,M
891,Lex,M
892,Liliana,F
893,Lindsay,F
894,Lisa,F
895,Lisheng,M
896,Lixin,M
897,Liz,F
898,Liza,F
899,Lizzie,F
900,Lloyd,M
901,Lluë_s,M
902,Logan,M
903,Lois,F
904,Lone,F
905,Lorene,F
906,Lotte,F
907,Lou,F
908,Louis,M
909,Louise,F
910,Luc,M
911,Luca,M
912,Luchino,M
913,Lucia,F
914,Lucian,M
915,Luciano,M
916,Lucile,F
917,Lucio,M
918,Lucky,M
919,Lucrecia,M
920,Lucë_a,M
921,Ludwig,M
922,Luigi,M
923,Luis,M
924,Lukas,M
925,Luke,M
926,Lyndon,M
927,Lynn,F
928,Lynne,F
929,Lëë©a,M
930,M.,M
931,Mac,M
932,Macon,M
933,Madeleine,F
934,Madhur,M
935,Madonna,F
936,Maggie,F
937,Magnus,M
938,Mahiro,M
939,Mai,F
940,Maja,F
941,Majid,M
942,Makoto,M
943,Malcolm,M
944,Malu,M
945,Mamoru,M
946,Man,M
947,Mandie,M
948,Maneesh,M
949,Manfred,M
950,Manon,F
951,Manuel,M
952,Manuela,F
953,Marc,M
954,Marcel,M
955,Marcio,M
956,Marco,M
957,Marcos,M
958,Marcus,M
959,Marek,M
960,Maren,F
961,Margarethe,F
962,Margot,F
963,Mari,F
964,Maria,F
965,Mariana,F
966,Mariano,M
967,Marielle,F
968,Mariken,M
969,Marilyn,F
970,Marina,F
971,Mario,M
972,Marius,M
973,Mark,M
974,Markus,M
975,Marleen,F
976,Marshall,M
977,Martha,F
978,Marti,M
979,Martin,M
980,Martine,F
981,Marvin,M
982,Mary,F
983,Maryam,F
984,Marzieh,M
985,Marë_a,M
986,Masaaki,M
987,Masahiro,M
988,Masakazu,M
989,Masami,F
990,Masanori,M
991,Masato,M
992,Masaya,M
993,Masayuki,M
994,Mateo,M
995,Mathieu,M
996,Matt,M
997,Matteo,M
998,Matthew,M
999,Matthias,M
1000,Matthijs,M
1001,Matë_as,M
1002,Maurice,M
1003,Maurë_cio,M
1004,Max,M
1005,Maya,F
1006,Maysaloun,M
1007,MaëÕÑwenn,M
1008,McG,M
1009,Meera,F
1010,Megumi,F
1011,Mehdi,M
1012,Meir,M
1013,Mel,M
1014,Melanie,F
1015,Melville,M
1016,Melvin,M
1017,Meng,M
1018,Menhaj,M
1019,Mennan,M
1020,Meral,M
1021,Mercy,F
1022,Merian,M
1023,Mervyn,M
1024,Mia,F
1025,Micha,M
1026,Michael,M
1027,MichaëÕ¢l,M
1028,Michel,M
1029,Michelangelo,M
