,names,values
0,'Weird,M
1,A.A.,M
2,A.B.,M
3,A.W.,M
4,AAV,M
5,Aaron,M
6,Abbas,M
7,Abby,F
8,Abdellatif,M
9,Abdulah,M
10,Abe,M
11,Abel,M
12,Aben,M
13,Abi,F
14,Abraham,M
15,Adam,M
16,Adi,F
17,Aditya,M
18,Adolph,M
19,Adolphe,M
20,Adrian,M
21,Adriano,M
22,Adrienne,F
23,Adriï¿_ÍŒï¿_n,M
24,Afonso,M
25,Agatha,F
26,Agenore,M
27,Agnieszka,F
28,Agnï¿_ï¿_ï¿_ï¿_s,M
29,Agustï¿_ï¿__n,M
30,Ai,F
31,Aimee,F
32,Ajay,M
33,Aki,M
34,Akif,M
35,Akihiro,M
36,Akimi,M
37,Akira,M
38,Akiva,M
39,Akiyuki,M
40,Al,M
41,Alain,M
42,Alan,M
43,Alante,M
44,Albert,M
45,Alberto,M
46,Aldous,M
47,Alec,M
48,Alejandro,M
49,Aleksa,M
50,Aleksandr,M
51,Aleksei,M
52,Aleksey,M
53,Ales,M
54,Alessandro,M
55,Alex,M
56,Alexander,M
57,Alexandra,F
58,Alexandra-Therese,M
59,Alexandre,M
60,Alexi,M
61,Alfonso,M
62,Alfred,M
63,Alfredo,M
64,Ali,M
65,Alice,F
66,Aline,F
67,Alison,F
68,Alistair,M
69,Allan,M
70,Allen,M
71,Allison,F
72,Alonso,M
73,Aluizio,M
74,Alun,M
75,Alvin,M
76,Alyson,F
77,Alï¿_ï¿_ï¿_ï¿_,M
78,Amanda,F
79,Amando,M
80,Amat,M
81,Ami,M
82,Amitabh,M
83,Amos,M
84,Amy,F
85,Amï¿_ÍŒï¿_lie,M
86,Ana,F
87,Anaï¿_ï¿_ï¿_ï¿_s,M
88,Anders,M
89,Andre,M
90,Andrea,M
91,Andreas,M
92,Andrew,M
93,Andrey,M
94,Andrzej,M
95,Andrï¿_ÍŒï¿_,M
96,Andrï¿_ÍŒï¿_s,M
97,Andy,M
98,Ang,M
99,Angela,F
100,Angelina,F
101,Angelino,M
102,Angus,M
103,Anita,F
104,Ann,F
105,Anna,F
106,Anna-Leena,M
107,Anne,F
108,Anne-Sophie,M
109,Annie,F
110,Annina,M
111,Anthony,M
112,Antoine,M
113,Anton,M
114,Antonio,M
115,Antwone,M
116,Anurag,M
117,Anya,F
118,Aoi,F
119,Apichatpong,M
120,April,F
121,Arantxa,F
122,Arash,M
123,Ardel,M
124,Ari,M
125,Ariel,M
126,Arkadiy,M
127,Arleen,F
128,Arlene,F
129,Arlo,M
130,Armitage,M
131,Arnaud,M
132,Arne,M
133,Arnold,M
134,Art,M
135,Arthur,M
136,Arturo,M
137,Aschlin,M
138,Asghar,M
139,Asha,F
140,Ashley,F
141,Ashutosh,M
142,Asif,M
143,Assad,M
144,Astra,F
145,Astrid,F
146,Athina,F
147,Audrey,F
148,August,M
149,Auguste,M
150,Augusto,M
151,Aurora,F
152,Austin,M
153,Ava,F
154,Avery,M
155,Avner,M
156,Ayn,F
157,Ayub,M
158,Aï¿_ï¿__da,F
159,Babak,M
160,Bahareh,M
161,Banjong,M
162,Baran,M
163,Barbara,F
164,Barney,M
165,Barry,M
166,Bart,M
167,Bartlett,M
168,Baz,M
169,Beau,M
170,Behnam,M
171,Ben,M
172,Benedek,M
173,Benedict,M
174,Benedikt,M
175,Benjamin,M
176,Benoï¿_ï¿_ï¿_ï¿_t,M
177,Berkely,M
178,Bernard,M
179,Bernardino,M
