,imdb_ids
0,499549
1,449088
3,1345836
5,401729
8,398286
10,417741
12,348150
13,830515
14,383574
15,1210819
16,770828
17,499448
18,848228
19,848228
20,1298650
21,1409024
23,948470
24,955308
25,1170358
26,385752
27,360717
28,360717
29,360717
30,120338
32,1440129
34,1074638
35,1074638
36,316654
37,1300854
38,1014759
39,1014759
40,376994
42,1055369
44,1623205
45,1623205
47,1104001
48,1104001
49,1216475
50,1133985
51,435761
52,438488
54,816711
56,1408101
57,1351685
58,1343092
59,1343092
60,473075
61,1663662
62,1399103
63,367882
65,1217209
67,910970
69,1190080
74,363771
76,468569
77,1049413
78,892782
79,371746
80,970179
81,120891
86,114898
87,1046173
91,1228705
92,1735898
97,1335975
99,892791
102,1772341
103,338348
105,892769
106,181852
109,1375666
112,903624
113,232500
114,232500
115,232500
116,421715
117,1270798
119,963966
120,409182
122,413267
125,980970
126,213149
127,418279
129,373889
130,330373
131,448157
132,480249
133,367594
134,382932
135,372784
138,458525
139,242653
140,2294629
141,234215
142,1981115
144,808151
145,800369
146,397892
147,436339
148,1646987
151,780653
153,1302011
154,938283
156,2334879
157,1305591
158,424095
163,332452
164,1277953
165,246460
168,120591
169,120912
170,442933
172,1229238
173,1446192
174,369441
175,325710
178,796366
179,145487
182,382992
183,409459
185,286716
186,1583421
189,458339
191,311113
192,1673434
193,1673434
195,800080
199,1860353
200,1192628
203,441773
205,1951264
209,407304
211,448694
212,944835
214,983193
215,304141
216,455824
217,1815862
221,1001526
222,241527
223,790736
224,325980
227,382625
229,290334
230,1596343
232,800320
233,800320
234,100802
235,100802
236,120657
238,118688
240,319262
243,486576
244,454876
247,305357
250,1535108
251,296572
254,811080
256,1013743
257,1483013
258,121766
259,121765
260,198781
261,1430132
262,120915
263,481499
269,1454468
274,477347
277,187393
279,356910
281,338751
283,990407
286,472181
287,299172
289,433035
290,2017020
292,1731141
293,337978
294,120737
295,327437
296,327437
299,343818
300,320661
301,164912
302,780521
305,399201
306,399201
308,187078
309,172495
310,181689
311,295297
312,381061
313,381061
316,103064
317,1152836
319,111503
320,1111422
322,1386588
324,1853728
325,116583
326,120917
327,1764651
329,449010
330,386117
331,848537
332,1243957
333,1243957
335,450259
336,993846
337,112462
338,120201
339,1371111
341,327554
344,133240
349,362165
351,180052
352,947810
356,217505
357,1410063
359,327162
360,265086
362,119116
363,1261945
364,138749
368,380510
369,380510
370,266543
371,167260
372,167261
374,146316
377,1318514
379,1606378
382,317705
384,814255
385,119654
386,120363
387,477080
389,161081
390,844471
391,1080016
393,160127
394,407887
395,120762
396,942385
397,1568346
398,112864
399,988045
403,230011
405,985699
408,212720
410,118884
411,164052
413,1854564
414,325703
418,183523
419,1436562
421,120461
424,82198
425,82198
426,352248
429,117998
430,162222
432,372183
433,118571
434,240772
435,1509767
436,837562
437,461770
438,2243973
441,471042
442,457939
443,120660
444,1230414
446,400717
451,397535
453,1430607
457,1667353
458,446029
459,298814
461,267913
462,1343727
463,1343727
468,489099
472,315327
473,1320253
474,117060
475,1392170
477,103776
479,275847
481,120647
482,1821694
485,2191701
487,337741
488,1130884
489,369436
490,358082
492,960731
494,1564367
496,118880
497,1059786
498,159365
500,119137
501,171363
502,117705
504,970416
505,970416
506,118883
508,120828
509,1302067
510,166813
512,120738
521,386140
523,185431
525,116996
528,986263
529,146309
534,875034
535,300556
536,119925
539,199753
545,268978
546,110357
548,1985966
549,289765
552,322259
557,311429
558,1690953
559,116629
560,119567
561,351283
562,206634
563,120903
564,493464
565,117500
566,438097
567,343660
568,427327
571,1670345
572,1375670
573,362227
576,190865
577,472062
578,307453
582,408306
586,371246
587,385880
590,166485
591,1253864
593,120913
594,329717
597,166276
598,377062
599,217869
601,978764
603,120184
606,1201167
609,240462
610,112573
611,418763
612,462538
613,268995
616,368447
618,286106
619,298148
620,317219
622,295701
625,361748
626,102057
627,99423
628,257076
630,259711
631,452637
632,370263
634,277434
635,2302755
636,120844
637,1217613
638,319061
640,1568911
642,96754
643,1027718
646,486655
650,419706
651,297181
652,1496025
653,1336608
655,1448755
659,181739
662,346156
664,1211956
667,1325004
669,1323594
672,1186830
673,132347
674,480687
678,427152
679,1611224
684,120815
686,207201
687,268380
688,285531
689,443272
690,133093
691,112384
692,304669
693,1707386
694,128853
695,838283
696,120746
697,1231583
701,106582
702,115759
705,304415
706,1645170
707,120663
713,119942
715,452608
716,116908
718,406375
719,137523
720,758794
722,102070
725,380599
730,396171
731,295178
732,375568
733,107290
739,112346
743,445934
744,1411704
745,416449
748,120689
752,258463
755,120382
756,120794
757,317303
758,1272878
760,317740
761,313737
767,879870
769,1245526
772,369339
775,790724
776,790724
779,1598778
781,327597
786,116705
787,167190
789,1623288
793,420238
795,290095
800,118583
801,822854
803,120791
805,385307
806,253556
807,1321870
809,1057500
810,473705
814,762125
815,253754
818,1226273
822,120749
823,120749
824,821642
826,181875
829,822847
830,165982
831,119081
838,1538403
839,765476
840,382628
842,494238
855,425123
861,2234155
863,485985
865,118971
866,1232200
867,116136
874,109830
876,212338
877,114148
878,78346
880,386588
881,119190
883,1535109
884,1279935
885,112642
887,252076
889,454921
890,408790
893,266697
898,104070
899,184894
901,1396218
902,865556
904,103644
909,1298649
910,1298649
915,1430626
