,names,values
1372,Oscar,M
1373,Oskar,M
1374,Ousmane,M
1375,Oz,M
1376,P.,M
1377,P.J.,M
1378,Pablo,M
1379,Paddy,M
1380,Pam,F
1381,Pamela,F
1382,Pan,M
1383,Panna,F
1384,Paolo,M
1385,Parker,M
1386,Pascal,M
1387,Pat,M
1388,Patch,M
1389,Patricia,F
1390,Patrick,M
1391,Patrik-Ian,M
1392,Patty,F
1393,Paul,M
1394,Paula,F
1395,Paulo,M
1396,Pavel,M
1397,Pawel,M
1398,Pea,M
1399,Pearse,M
1400,Pedro,M
1401,Peggy,F
1402,Pen,F
1403,Pen-Ek,M
1404,Penelope,F
1405,Penn,M
1406,Penny,F
1407,Pepijn,M
1408,Percy,M
1409,Perry,M
1410,Pete,M
1411,Peter,M
1412,Petter,M
1413,Phil,M
1414,Philip,M
1415,Philippe,M
1416,Phillip,M
1417,Phoebe,F
1418,Phra,M
1419,Phyllis,F
1420,Pier,M
1421,Pierce,M
1422,Pierre,M
1423,Piers,M
1424,Pik,M
1425,Piyush,M
1426,Plan,M
1427,Polly,F
1428,Posy,F
1429,Pradip,M
1430,Premendra,M
1431,Preston,M
1432,Qiang,M
1433,Quentin,M
1434,R.,M
1435,R.C.,M
1436,R.L.,M
1437,RZA,M
1438,Rachel,F
1439,Rachid,M
1440,Radha,F
1441,Radu,M
1442,Rae,F
1443,Rafael,M
1444,Rafi,M
1445,Rahul,M
1446,Rainer,M
1447,Rajkumar,M
1448,Ralf,M
1449,Ralph,M
1450,Rama,M
1451,RamÎê_n,M
1452,Ranald,M
1453,Randall,M
1454,Randy,M
1455,Rania,M
1456,Ransom,M
1457,Raoul,M
1458,Rashida,F
1459,Rasmus,M
1460,Ravn,M
1461,Rawson,M
1462,Ray,M
1463,Raymond,M
1464,Razvan,M
1465,Reb,M
1466,Rebecca,F
1467,Reed,M
1468,Reginald,M
1469,Reha,M
1470,Reid,M
1471,Reiko,M
1472,Renzil,M
1473,RenÎêÎ©,M
1474,Reuben,M
1475,Rex,M
1476,Rhett,M
1477,Rian,M
1478,Ricardo,M
1479,Rich,M
1480,Richard,M
1481,Richelle,F
1482,Rick,M
1483,Ricky,M
1484,Rida,M
1485,Rika,F
1486,Riley,M
1487,Ring,M
1488,Rishi,M
1489,Rita,F
1490,Ritesh,M
1491,Roald,M
1492,Rob,M
1493,Robb,M
1494,Robert,M
1495,Roberto,M
1496,Roberts,M
1497,Robin,M
1498,Robyn,F
1499,Rockne,M
1500,Rod,M
1501,Roderick,M
1502,Rodney,M
1503,Rodolfo,M
1504,Rodrigo,M
1505,Roger,M
1506,Rogier,M
1507,Roi,M
1508,Roland,M
1509,Rolf,M
1510,Rolfe,M
1511,Roman,M
1512,Romeo,M
1513,Ron,M
1514,Rona,F
1515,Ronald,M
1516,Ronan,M
1517,Ronnie,M
1518,Rosalie,F
1519,Rosalind,F
1520,Rose,F
1521,Ross,M
1522,Rossella,F
1523,Rowan,M
1524,Roy,M
1525,Ruba,F
1526,Ruben,M
1527,Rubin,M
1528,Rudolph,M
1529,Ruggero,M
1530,Rumer,M
1531,Rumle,M
1532,Rupert,M
1533,Russell,M
1534,Ruth,F
1535,Ryan,M
1536,Ryne,M
1537,Ryszard,M
1538,RyÎêÎ_,M
1539,RyÎêÎ_nosuke,M
1540,RyÎêÎ_ta,M
1541,RyÎêÎ_zÎêÎä,M
1542,RÎêÎ©gis,M
1543,RÎêÎ©mi,M
1544,S.,M
1545,S.E.,M
1546,S.J.,M
1547,S.N.,M
1548,S.S.,M
1549,Saara,F
1550,Sabereh,M
1551,Sabina,F
1552,Sabine,F
1553,Sabrina,F
1554,Sacha,M
1555,Sadayuki,M
1556,Saeko,M
1557,Saela,M
1558,Sakke,M
1559,Salem,M
1560,Sally,F
1561,Salvador,M
1562,Sam,M
1563,Samantha,F
1564,Samson,M
1565,Samuel,M
1566,Sandor,M
1567,Sandra,F
1568,Sandrina,M
1569,Sandro,M
1570,Sandy,M
1571,Sang-il,M
1572,Sanna,F
1573,Santiago,M
1574,Santo,M
1575,Sara,F
1576,Sarah,F
1577,Sarah-Violet,M
1578,Saratchandra,M
1579,Sari,F
1580,Saroo,M
