,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,index,id,imdb_id,Rating,Title,Year,Unnamed: 0_y,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,binary,test,clean_test,domgross,intgross,budget_2013$,domgross_2013$,intgross_2013$,producer,writer,box_office,parental_rating,production_company,adjusted_box_office,Multiple genres,producer percentage,writer percentage,director percentage
0,0,0,0,0,0,5433,3,0,Pauvre Pierrot,1892,,,í€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ_mile Reynaud,,4,,,,,,Animation||Comedy||Short||Romance,,,,,,,,,French,France,,,,6.6,,,FAIL,nowomen,nowomen,,,,,,Julien Pappí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©,,,,,0,,,,
1,1,1,1,1,1,5444,14,0,Tables Turned on the Gardener,1895,,,Louis Lumií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢re,,1,,,,,,Comedy||Short,,,,,,,,,French,France,,,,7.2,,,FAIL,nowomen,nowomen,,,,,,Louis Lumií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢re,,,,,0,,,,
2,2,2,2,2,2,6200,132134,0,"Execution of Mary, Queen of Scots, The",1895,,,Alfred Clark,,1,,,,,,Short||History||Horror,,,,,,,,,English,USA,,,,6.7,,,FAIL,nowomen,nowomen,,,,,,Thomas A. Edison,,,,,0,,,,
3,3,3,3,3,3,6199,12,0,"Arrival of a Train, The",1896,,,Auguste Lumií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢re,,1,,,,,,Documentary||Short,,,,,,,,,French,France,,,,7.4,,,FAIL,nowomen,nowomen,,,,,,,,,,,0,,,,
4,4,4,4,4,4,5406,131,0,Une nuit terrible,1896,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,1,,,,,,Short||Comedy||Horror,,,,,,,,,French,France,,,,5.9,,,FAIL,nowomen,nowomen,,,,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,,,,0,,,,
5,5,5,5,5,5,4982,91,0,"House of the Devil, The",1896,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,3,,,,,,Short||Horror,,,,,,,,,French,France,,,,6.8,,,FAIL,nowomen,nowomen,,,,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,,,0,,,,
6,6,6,6,6,6,5445,223341,0,La fee aux choux,1896,,,Alice Guy,,1,,,,,,Short||Family||Fantasy,,,,,,,,,French,France,,,,,,,FAIL,nowomen,nowomen,,,,,,Lí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©on Gaumont,Alice Guy,,,,0,,,,
7,7,7,7,7,7,5411,224240,0,"Temptation of St. Anthony, The",1898,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,1,,,,,,Short||Drama,,,,,,,,,French,France,,,,6,,,FAIL,nowomen,nowomen,,,,,,,,,,,0,,,,
8,8,8,8,8,8,5410,211,0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,3,,,,,,Short||Comedy||Fantasy||Sci-Fi,,,,,,,,,French,France,,,,7.5,,,FAIL,nowomen,nowomen,,,,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,,Kadokawa Pictures,0,,,,
9,9,9,9,9,9,4978,135696,0,Four Heads Are Better Than One,1898,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,1,,,,,,Short||Comedy,,,,,,,,,French,France,,,,7.6,,,FAIL,nowomen,nowomen,,,,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,,,,0,,,,
10,10,10,10,10,10,4994,246,0,A Turn of the Century Illusionist,1899,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,1,,,,,,Short,,,,,,,,,None,France,,,,6.5,,,FAIL,nowomen,nowomen,,,,,,,,,,,0,,,,
11,11,11,11,11,11,5914,230,3,Cinderella,1899,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,,6,,,,,,Short||Drama||Fantasy,,,,,,,,,French,France,,,,6.6,,,PASS,ok,ok,,,,,,Georges Mí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œ©lií€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ€í€Œ‰í‰Œˆí€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ‰í€Œ‰í‰Œí€Œ€í‰Œ€í€Œ‰í‰Œëí€Œ€í‰Œ‰í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ«í€Œ€í‰Œ€í€Œ‰í‰Œ¢s,Charles Perrault,,,,0,,,,
12,12,12,12,12,12,1594,291476,0,Sherlock Holmes Baffled,1900,,,Arthur Marvin,,1,,,,,,Short||Comedy||Crime||Fantasy||Mystery,,,,,,,,,English,USA,,,,5.1,,,FAIL,nowomen,nowomen,,,,,,,Arthur Conan Doyle,,,,0,,,,
13,13,13,13,13,13,4344,272,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,,,George Albert Smith,,1,,,,,,Short||Comedy,,,,,,,,,English,UK,,,,5.7,,,FAIL,nowomen,nowomen,,,,,,George Albert Smith,,,,,0,,,,
